City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
5,Mouila,GA,74.12,overcast clouds,-1.8685,11.0559,Hôtel du Lac Bleu
6,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
8,Salalah,OM,87.89,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
11,Ribeira Grande,PT,68.5,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
12,Port Elizabeth,ZA,66.09,scattered clouds,-33.918,25.5701,39 On Nile Guest House
13,Qui Nhon,VN,83.66,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
14,Binzhou,CN,75.27,light rain,37.3667,118.0167,Hampton By Hilton Binzhou
17,Saint-Philippe,RE,77.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
18,Wum,CM,65.07,overcast clouds,6.3833,10.0667,Wum Council Hall
24,Kanigoro,ID,86.92,scattered clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
27,Jiazi,CN,86.38,clear sky,22.8779,116.067,Hotel Jin Hao
29,Belmonte,BR,75.7,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
31,Tamandare,BR,75.36,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
35,Olot,ES,65.68,overcast clouds,42.181,2.4901,Hotel Riu Fluvià
36,Rikitea,PF,73.47,clear sky,-23.1203,-134.9692,People ThankYou
43,Sokoto,NG,76.12,broken clouds,13.0609,5.239,Shukura Coral Hotel
44,Lagoa,PT,66.56,scattered clouds,39.05,-27.9833,Casa Das Faias
46,Vaini,TO,69.96,few clouds,-21.2,-175.2,Keleti Beach Resort
47,Laguna,US,66.24,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
48,Hilo,US,80.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
55,East London,ZA,68.52,broken clouds,-33.0153,27.9116,Tu Casa
58,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
60,San Cristobal,VE,65.43,broken clouds,7.7669,-72.225,Posada Villaven C.A.
63,Topolobampo,MX,81.05,clear sky,25.6,-109.05,Hotel Marina Topolobampo
69,Inhambane,MZ,79.38,clear sky,-23.865,35.3833,Oceano
