City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,60.75,47,57,1.01,broken clouds
1,Saldanha,ZA,-33.0117,17.9442,60.21,83,16,14.18,few clouds
2,Mahebourg,MU,-20.4081,57.7,76.24,72,72,18.92,broken clouds
3,Jamestown,US,42.097,-79.2353,62.51,69,90,3.0,overcast clouds
4,Bluff,NZ,-46.6,168.3333,49.8,55,2,7.18,clear sky
5,Mouila,GA,-1.8685,11.0559,74.12,95,100,1.3,overcast clouds
6,Bambous Virieux,MU,-20.3428,57.7575,77.25,57,75,20.71,broken clouds
7,Chara,RU,56.9064,118.2631,38.89,92,100,1.9,light rain
8,Salalah,OM,17.0151,54.0924,87.89,70,0,4.61,clear sky
9,Nyurba,RU,63.2842,118.3319,44.13,54,100,15.41,overcast clouds
10,Ilulissat,GL,69.2167,-51.1,8.08,74,0,4.97,clear sky
11,Ribeira Grande,PT,38.5167,-28.7,68.5,72,87,16.49,overcast clouds
12,Port Elizabeth,ZA,-33.918,25.5701,66.09,82,40,11.5,scattered clouds
13,Qui Nhon,VN,13.7667,109.2333,83.66,77,42,9.26,scattered clouds
14,Binzhou,CN,37.3667,118.0167,75.27,72,100,11.52,light rain
15,Thompson,CA,55.7435,-97.8558,49.14,73,65,3.8,broken clouds
16,Klaksvik,FO,62.2266,-6.589,47.32,87,100,10.65,overcast clouds
17,Saint-Philippe,RE,-21.3585,55.7679,77.22,87,78,14.99,light rain
18,Wum,CM,6.3833,10.0667,65.07,95,100,2.82,overcast clouds
19,Talnakh,RU,69.4865,88.3972,41.43,40,71,8.75,broken clouds
20,Ushuaia,AR,-54.8,-68.3,38.86,81,0,5.75,clear sky
21,Albany,US,42.6001,-73.9662,52.81,91,8,4.52,clear sky
22,Busselton,AU,-33.65,115.3333,63.05,73,80,14.23,broken clouds
23,Karatuzskoye,RU,53.6072,92.8667,38.5,72,100,10.58,overcast clouds
24,Kanigoro,ID,-8.13,112.219,86.92,51,47,13.27,scattered clouds
25,Barrow,US,71.2906,-156.7887,24.82,80,20,16.11,few clouds
26,Mataura,NZ,-46.1927,168.8643,49.48,59,3,3.24,clear sky
27,Jiazi,CN,22.8779,116.067,86.38,60,8,11.7,clear sky
28,Makat,KZ,47.6469,53.3463,61.14,48,35,23.17,scattered clouds
29,Belmonte,BR,-15.8631,-38.8828,75.7,89,73,4.12,broken clouds
30,Qaanaaq,GL,77.484,-69.3632,21.24,59,79,8.21,broken clouds
31,Tamandare,BR,-8.7597,-35.1047,75.36,84,42,12.12,scattered clouds
32,Upernavik,GL,72.7868,-56.1549,24.64,65,1,6.02,clear sky
33,Northam,GB,51.0333,-4.2167,52.02,94,100,13.44,overcast clouds
34,Rio Grande,BR,-32.035,-52.0986,56.95,93,4,5.61,clear sky
35,Olot,ES,42.181,2.4901,65.68,93,99,5.14,overcast clouds
36,Rikitea,PF,-23.1203,-134.9692,73.47,74,7,19.3,clear sky
37,Fortuna,US,40.5982,-124.1573,62.94,64,90,1.01,overcast clouds
38,Te Anau,NZ,-45.4167,167.7167,47.01,55,1,1.72,clear sky
39,Chuy,UY,-33.6971,-53.4616,55.65,94,9,3.56,clear sky
40,Bredasdorp,ZA,-34.5322,20.0403,58.32,88,38,5.75,scattered clouds
41,Lavrentiya,RU,65.5833,-171.0,29.39,85,66,5.86,broken clouds
42,Mar Del Plata,AR,-38.0023,-57.5575,51.01,69,90,11.99,overcast clouds
43,Sokoto,NG,13.0609,5.239,76.12,78,62,7.38,broken clouds
44,Lagoa,PT,39.05,-27.9833,66.56,67,35,19.28,scattered clouds
45,Lasa,IT,46.6166,10.7002,58.08,92,70,3.65,broken clouds
46,Vaini,TO,-21.2,-175.2,69.96,100,20,3.44,few clouds
47,Laguna,US,38.421,-121.4238,66.24,79,1,4.0,clear sky
48,Hilo,US,19.7297,-155.09,80.28,87,90,8.05,light rain
49,Haines Junction,CA,60.7522,-137.5108,35.55,75,100,5.75,overcast clouds
50,Hobart,AU,-42.8794,147.3294,61.11,56,40,13.8,scattered clouds
51,Longyearbyen,SJ,78.2186,15.6401,33.64,80,75,21.85,light snow
52,Polovinnoye,RU,54.7914,65.9864,41.14,53,100,24.49,overcast clouds
53,Poya,NC,-21.35,165.15,71.2,61,23,10.85,few clouds
54,Hermanus,ZA,-34.4187,19.2345,59.9,86,68,2.66,broken clouds
55,East London,ZA,-33.0153,27.9116,68.52,71,54,18.95,broken clouds
56,Nzega,RW,-2.479,29.5564,63.75,69,63,2.95,light rain
57,Olavarria,AR,-36.8927,-60.3225,48.02,79,100,10.07,overcast clouds
58,Nouadhibou,MR,20.931,-17.0347,73.38,78,10,16.11,clear sky
59,Punta Arenas,CL,-53.15,-70.9167,35.71,80,0,12.66,clear sky
60,San Cristobal,VE,7.7669,-72.225,65.43,91,56,2.19,broken clouds
61,Dunedin,NZ,-45.8742,170.5036,46.67,73,39,11.52,scattered clouds
62,Saskylakh,RU,71.9167,114.0833,35.67,92,100,14.88,overcast clouds
63,Topolobampo,MX,25.6,-109.05,81.05,64,0,3.76,clear sky
64,Tuktoyaktuk,CA,69.4541,-133.0374,31.91,90,100,14.76,light snow
65,Cape Town,ZA,-33.9258,18.4232,62.11,73,75,13.8,broken clouds
66,Hovd,MN,48.0056,91.6419,44.15,28,0,13.6,clear sky
67,Nome,US,64.5011,-165.4064,35.67,93,90,16.11,light rain
68,Bethel,US,41.3712,-73.414,61.92,86,1,0.0,clear sky
69,Inhambane,MZ,-23.865,35.3833,79.38,60,0,9.89,clear sky
70,Dali,CN,25.7,100.1833,75.79,50,10,3.94,clear sky
71,Sao Filipe,CV,14.8961,-24.4956,78.24,80,68,6.55,broken clouds
72,Poykovskiy,RU,61.2333,73.3333,44.89,87,0,8.95,clear sky
73,Yakeshi,CN,49.2833,120.7333,53.56,47,6,16.58,clear sky
74,Parrita,CR,9.5201,-84.3225,82.17,86,100,0.85,overcast clouds
75,Dikson,RU,73.5069,80.5464,35.94,86,84,25.08,broken clouds
76,Bintulu,MY,3.1667,113.0333,84.61,79,40,16.11,scattered clouds
77,Muscatine,US,41.4667,-91.1335,73.38,52,1,12.66,clear sky
78,Rawson,AR,-43.3002,-65.1023,49.15,34,8,12.75,clear sky
79,Yeppoon,AU,-23.1333,150.7333,76.78,63,11,16.33,few clouds
80,Sioux Lookout,CA,50.1001,-91.917,46.78,93,1,3.44,clear sky
81,Qandala,SO,11.472,49.8728,91.74,45,11,3.47,few clouds
82,Omboue,GA,-1.5746,9.2618,77.02,83,100,3.58,overcast clouds
83,San Patricio,US,28.017,-97.5169,79.83,70,36,7.11,scattered clouds
84,Kirando,TZ,-7.4167,30.6,81.48,42,20,5.66,few clouds
85,Georgetown,MY,5.4112,100.3354,85.95,74,20,4.61,few clouds
